Price,Street,Avenue,Bedrooms,Bathrooms,SquareFootage,Unit,Address
2300,15,1,2,1,900,1C,"342 E 15th St APT 1C, New York, NY 10003"
3000,14,1,0,1,550,9H,"333 E 14th St APT 9H, New York, NY 10003"
2250,15,1,1,1,650,18,"328 E 15th St APT 18, New York, NY 10003"
2950,14,2,2,1,800,1A,"321 E 14th St APT 1A, New York, NY 10003"
2700,14,3,1,1,800,7,"211 E 14th St APT 7, New York, NY 10003"
3200,14,4,0,1,450,U15I,"1 Irving Pl, New York, NY 10003"
3400,14,4,1,1,550,4E,"1 Irving Pl, New York, NY 10003"
3400,14,4,0,1,540,U7H,"1 Irving Pl, New York, NY 10003"
4000,14,4,1,1,662,V16E,"1 Irving Pl, New York, NY 10003"
4250,14,4,1,1,685,P7E,"1 Irving Pl, New York, NY 10003"
4500,14,4,1,1,670,G21C,"1 Irving Pl, New York, NY 10003"
5179,14,4,1,1,674,G19D,"1 Irving Pl, New York, NY 10003"
5400,14,4,1,1,714,P26A,"1 Irving Pl, New York, NY 10003"
7190,14,5,1,1,635,19G,"1 Union Sq S #19G, New York, NY 10003"
4500,14,5,1,1,770,317,"7 E 14th St APT 317, New York, NY 10003"
4500,15,5,1,1,715,16D,"22 W 15th St APT 16D, New York, NY 10011"
3650,15,6,0,1,624,6A,"50 W 15th St APT 6A, New York, NY 10011"
4650,14,6,1,1,869,7J,"55 W 14th St, New York, NY 10011"
4875,14,6,1,1,921,2C,"55 W 14th St, New York, NY 10011"
4300,14,6,1,1,700,2B,"108 W 15th St, New York, NY 10011"
5240,14,6,1,1,595,5G,"108 W 15th St, New York, NY 10011"
2221,14,7,0,1,602,5C,"158 W 15th St, New York, NY 10011"
2399,14,7,1,1,550,5F,"158 W 15th St, New York, NY 10011"
2695,14,7,1,1,580,4A,"158 W 15th St, New York, NY 10011"
6995,14,7,1,1,936,3A,"211 W 14th St #3A, New York, NY 10011"
2495,15,7,1,1,717,2B,"220 W 15th St APT 2B, New York, NY 10011"
3700,14,7,2,1,850,3R,"233 W 14th St APT 3R, New York, NY 10011"
7800,14,8,1,2,1055,2A,"345 W 14th St APT 2A, New York, NY 10014"
7200,14,9,2,2,6500,N/A,"9 E 9th St, New York, NY 10003"
7650,15,6,1,1,638,529,"101 W 15th St APT 529, New York, NY 10011"
5980,15,5,1,1,696,13D,"77 5th Ave APT 13D, New York, NY 10003"
3975,16,5,2,1,800,7,"10 E 16th St APT 7, New York, NY 10003"
3400,15,3,1,1,550,4E,"22 Irving Pl APT 4E, New York, NY 10003"
2950,15,3,0,1,650,2C,"142 E 16th St, New York, NY 10003"
4750,15,3,1,1,850,4H,"142 E 16th St, New York, NY 10003"
3200,16,3,1,1,650,4R,"132 E 16th St #4R, New York, NY 10003"
4300,16,6,1,1,750,10D,"43 W 16th St APT 10D, New York, NY 10011"
2800,16,7,0,1,500,5E,"161 W 16th St APT 5E, New York, NY 10011"
2000,16,7,1,1,625,2B,"225 W 16th St APT 2B, New York, NY 10011"
3995,17,8,1,1,592,9F,"270 W 17th St APT 9F, New York, NY 10011"
3300,17,8,2,1,700,4R,"334 W 17th St APT 4R, New York, NY 10011"
3250,16,8,2,1,650,13,"331 W 16th St APT 13, New York, NY 10011"
7000,17,10,2,2,935,1118,"450 W 17th St, New York, NY 10011"
8500,17,10,2,2,1038,2203,"450 W 17th St, New York, NY 10011"
9495,17,10,2,2,2000,323,"450 W 17th St, New York, NY 10011"
10000,17,10,2,2,1100,1704,"450 W 17th St, New York, NY 10011"
10000,17,10,2,2,1401,1222,"450 W 17th St, New York, NY 10011"
33000,18,7,3,3,3933,9,"224 W 18th St #9, New York, NY 10011"
10900,18,7,3,2.5,2002,7C,"224 W 18th St APT 7C, New York, NY 10011"
29000,18,7,3,3.5,2490,8C,"212 W 18th St APT 8C, New York, NY 10011"
13000,17,5,6,2,2500,2,"13 E 17th St APT 2, New York, NY 10003"
4200,18,4,2,1,787,6EE,"220 Park Ave S #6EE, New York, NY 10003"
6795,18,2,3,2,1500,3,"322 2nd Ave, New York, NY 10003"
7300,18,2,4,2,2000,2,"322 2nd Ave, New York, NY 10003"
11995,19,4,3,3,2000,N/A,"1 Irving Pl, New York, NY 10003"
4100,19,7,1,1,716,6G,"210 W 19th St APT 6G, New York, NY 10011"
12500,18,9,3,3,2000,11A,"447 W 18th St PENTHOUSE 11A, New York, NY 10011"
15500,19,11,3,3,1950,7,"524 W 19th St APT 7, New York, NY 10011"
45000,19,11,4,3.5,4818,B,"100 11th Ave PH B, New York, NY 10011"
10000,20,10,3,2,1500,A,"460 W 20th St PH A, New York, NY 10011"
10000,19,10,2,2.5,1303,5S,"455 W 19th St APT 5S, New York, NY 10011"
3495,19,10,0,1,582,4B,"445 W 19th St APT 4B, New York, NY 10011"
11250,19,9,3,2.5,4806,N/A,"152 9th Ave, New York, NY 10011"
5000,20,9,1,1,1000,N/A,"350 W 20th St, New York, NY 10011"
3974,20,7,0,1,550,3G,"180 W 20th St, New York, NY 10011"
4070,20,7,0,1,450,6B,"180 W 20th St, New York, NY 10011"
3950,19,6,1,1,701,5B,"650 6th Ave APT 5B, New York, NY 10011"
12000,19,6,2,2.5,1650,Floor 2,"37 W 19th St FLOOR 2, New York, NY 10011"
9500,19,4,2,2.5,1472,10C,"240 Park Ave S APT 10C, New York, NY 10003"
3150,20,3,1,1,500,2G,"26 Gramercy Park S APT 2G, New York, NY 10003"
3000,19,1,2,1,700,3B,"339 E 19th St APT 3B, New York, NY 10003"
2000,21,3,1,1,700,2D,"202 E 21st St APT 2D, New York, NY 10010"
9500,20,3,2,2.5,1750,6A,"247 3rd Ave ROOM 6A, New York, NY 10010"
3850,20,4,1,1,505,9B,"254 Park Ave S APT 9B, New York, NY 10010"
6500,21,6,1,1.5,1022,2K,"655 6th Ave APT 2K, New York, NY 10010"
3327,21,6,0,1,489,216,"120 W 21st St, New York, NY 10011"
3377,21,6,0,1,446,619,"120 W 21st St, New York, NY 10011"
3432,21,6,0,1,410,1108,"120 W 21st St, New York, NY 10011"
3432,21,6,0,1,449,818,"120 W 21st St, New York, NY 10011"
4482,21,6,1,1,532,417,"120 W 21st St, New York, NY 10011"
4482,21,6,1,1,532,317,"120 W 21st St, New York, NY 10011"
4567,21,6,1,1,532,1107,"120 W 21st St, New York, NY 10011"
4600,21,6,1,1,532,1017,"120 W 21st St, New York, NY 10011"
4517,21,6,1,1,607,712,"120 W 21st St, New York, NY 10011"
4597,21,6,1,1,607,603,"120 W 21st St, New York, NY 10011"
4695,21,6,1,1,615,414,"120 W 21st St, New York, NY 10011"
4820,21,6,1,1,670,404,"120 W 21st St, New York, NY 10011"
4820,21,6,1,1,670,704,"120 W 21st St, New York, NY 10011"
7003,21,6,2,2,808,801,"120 W 21st St, New York, NY 10011"
7020,21,6,2,2,808,901,"120 W 21st St, New York, NY 10011"
7192,21,6,2,2,756,1207,"120 W 21st St, New York, NY 10011"
2400,20,8,0,1,500,2R,"204 8th Ave APT 2R, New York, NY 10011"
19500,21,9,3,3.5,2400,3J,"177 9th Ave #3J, New York, NY 10011"
27500,20,10,4,4,2340,N/A,"455 W 20th St, New York, NY 10011"
20000,21,11,2,2.5,2469,6A,"551 W 21st St #6A, New York, NY 10011"
7995,21,10,1,1.5,1064,3F,"551 W 21st St, New York, NY 10011"
8400,21,10,1,1.5,1521,3E,"551 W 21st St, New York, NY 10011"
9000,21,10,2,2.5,1185,1R,"445 W 21st St #1R, New York, NY 10011"
4250,22,9,1,1,825,2R,"440 W 22nd St, New York, NY 10011"
8000,22,9,2,2,1675,1C,"440 W 22nd St, New York, NY 10011"
11000,22,9,2,2,1675,2,"440 W 22nd St, New York, NY 10011"
2700,22,8,1,1,660,1,"330 W 22nd St APT 1, New York, NY 10011"
6800,22,7,3,2,1200,1FE,"216 W 22nd St APT 1FE, New York, NY 10011"
16500,22,6,4,2,3000,10B,"132 W 22nd St, New York, NY 10011"
18000,22,6,4,2,2890,11,"132 W 22nd St, New York, NY 10011"
5620,21,6,1,1,775,1207,"37 W 21st St, New York, NY 10010"
5850,21,6,1,1,813,1102,"37 W 21st St, New York, NY 10010"
7700,21,6,2,2,1097,1106,"37 W 21st St, New York, NY 10010"
8750,21,6,2,2,1004,1505,"37 W 21st St, New York, NY 10010"
4212,21,5,0,1,474,906,"7 W 21st St, New York, NY 10010"
4765,21,5,0,1,543,8A,"7 W 21st St, New York, NY 10010"
4915,21,5,0,1,543,14A,"7 W 21st St, New York, NY 10010"
10500,21,5,2,2,963,3J,"7 W 21st St, New York, NY 10010"
13200,21,5,2,2,1206,A,"7 W 21st St, New York, NY 10010"
3250,21,5,1,1,800,510,"15 E 21st St APT 510, New York, NY 10010"
5000,22,4,1,1,810,21M,"280 Park Ave S APT 21M, New York, NY 10010"
3250,21,4,0,1,605,4C,"125 W 21st St APT 4C, New York, NY 10011"
4800,21,4,1,1,1100,2,"143 W 21st St APT 2, New York, NY 10011"
4500,22,3,2,1.5,748,111,"134 E 22nd St APT 111, New York, NY 10010"
8500,22,3,2,2,1289,21C,"160 E 22nd St, New York, NY 10010"
11500,22,3,3,2,1540,12E,"160 E 22nd St, New York, NY 10010"
5550,22,3,2,1,800,LB,"210 E 22nd St APT LB, New York, NY 10010"
7695,22,3,3,2,900,6F,"220 E 22nd St APT 6F, New York, NY 10010"
6895,22,3,3,2,850,4F,"220 E 22nd St APT 4F, New York, NY 10010"
4050,21,2,1,1,860,8J,"301 E 21st St APT 8J, New York, NY 10010"
2000,22,1,1,1,500,3F,"336 E 22nd St APT 3F, New York, NY 10010"
2250,21,1,1,1,700,2W,"339 E 21st St #2W, New York, NY 10010"
2075,22,1,1,1,556,8,"379 1st Ave APT 8, New York, NY 10010"
4150,23,3,3,1,1300,4,"293 3rd Ave #4, New York, NY 10010"
6075,23,3,1,1,757,16B,"290 3rd Ave APT 16B, New York, NY 10010"
15250,22,4,2,2,1491,28B,"45 E 22nd St #28B, New York, NY 10010"
2775,22,5,1,1,750,5B,"33 E 22nd St APT 5B, New York, NY 10010"
6950,22,5,2,2,1100,30C,"5 E 22nd St APT 30C, New York, NY 10010"
2895,22,5,1,1,700,6E,"172 5th Ave APT 6E, New York, NY 10010"
18895,23,5,3,2.5,2418,4U,"186 5th Ave #4U, New York, NY 10010"
6800,23,5,1,1,850,36B,"15 Hudson Yard, New York, NY 10001"
17950,23,5,3,3,2218,31H,"15 Hudson Yard, New York, NY 10001"
32000,23,5,4,4.5,3185,84B,"15 Hudson Yard, New York, NY 10001"
26000,23,6,4,4.5,3300,10,"124 W 23rd St APT 10, New York, NY 10011"
9500,22,6,2,2.5,1894,1B,"125 W 22nd St APT 1B, New York, NY 10011"
2500,23,6,0,1,540,3D,"140 W 23rd St APT 3D, New York, NY 10011"
1975,22,7,0,1,550,A1,"221 W 22nd St APT A1, New York, NY 10011"
6200,22,9,2,2,1200,1,"351 W 22nd St #1, New York, NY 10011"
5083,23,10,1,1,770,1-07H,"Ten23, 500 W 23rd St #1-07H, New York, NY 10011"
6495,24,11,2,2,1079,S11L,"555 W 23rd St APT S11L, New York, NY 10011"
5095,23,10,1,1,650,H2P,"535 W 23rd St SPACE H2P, New York, NY 10011"
2920,24,10,0,1,600,1B,"468 W 24th St APT 1B, New York, NY 10011"
4474,24,7,1,1,672,1-03B,"160 W 24th St, New York, NY 10011"
4483,24,7,1,1,673,1-03C,"160 W 24th St, New York, NY 10011"
5212,24,7,1,1,566,1,"160 W 24th St, New York, NY 10011"
5407,24,7,1,1,566,1-17A,"160 W 24th St, New York, NY 10011"
5320,24,7,1,1,755,1-04E,"160 W 24th St, New York, NY 10011"
5382,24,7,1,1,542,1-17C,"160 W 24th St, New York, NY 10011"
5634,24,7,1,1,673,1-04C,"160 W 24th St, New York, NY 10011"
8438,24,7,2,1,967,1-07E,"160 W 24th St, New York, NY 10011"
2900,23,4,1,1,600,302,"303 Park Ave S APT 302, New York, NY 10010"
3496,24,4,1,1,835,5D,"124 E 24th St, New York, NY 10010"
3496,24,4,1,1,891,1D,"124 E 24th St, New York, NY 10010"
5900,24,4,3,2,1400,2B,"126 E 24th St APT 2B, New York, NY 10010"
6350,24,3,3,1,1000,8C,"144 E 24th St APT 8C, New York, NY 10010"
2300,23,3,0,1,621,407,"155 E 23rd St APT 407, New York, NY 10010"
3595,23,3,2,1,800,7H,"220 E 24th St, New York, NY 10010"
5395,23,3,3,2,850,8I,"220 E 24th St, New York, NY 10010"
2295,24,2,2,1,600,2C,"231 E 24th St #2C, New York, NY 10010"
1900,24,2,1,1,500,5B,"238 E 24th St APT 5B, New York, NY 10010"
2400,24,2,1,1,625,3D1,"245 E 24th St #3D1, New York, NY 10010"
2800,24,2,0,1,650,2R,"305 E 24th St APT 2R, New York, NY 10010"
3300,25,3,1,2,750,1C,"204 E 25th St APT 1C, New York, NY 10010"
3400,24,3,1,1,600,306,"215 E 24th St APT 306, New York, NY 10010"
12500,24,4,2,2.5,1690,4D,"10 Madison Ave #4D, New York, NY 10010"
3100,24,6,0,1,465,9D,"77 W 24th St, New York, NY 10010"
3765,24,6,0,1,465,7D,"77 W 24th St, New York, NY 10010"
5221,24,6,1,1,668,27C,"77 W 24th St, New York, NY 10010"
5509,24,6,1,1,708,30H,"77 W 24th St, New York, NY 10010"
5862,24,6,1,1,786,9C,"77 W 24th St, New York, NY 10010"
6264,24,6,1,1,744,G,"77 W 24th St, New York, NY 10010"
7401,24,6,2,2,1089,22A,"77 W 24th St, New York, NY 10010"
5500,24,6,1,1.5,855,8C,"101 W 24th St APT 8C, New York, NY 10011"
10000,25,6,0,1,4000,N/A,"743 E 6th St, New York, NY 10009"
10828,25,6,3,2,2000,2,"743 E 6th St, New York, NY 10009"
6500,24,7,1,1.5,981,4C,"245 7th Ave APT 4C, New York, NY 10001"
9500,25,7,2,2,1655,4U,"252 7th Ave, New York, NY 10001"
19000,25,7,2,3.5,2304,Y,"252 7th Ave, New York, NY 10001"
3850,25,9,1,1,740,6J,"420 W 25th St, New York, NY 10001"
6500,25,9,1,2,1199,6C,"420 W 25th St, New York, NY 10001"
2100,25,10,1,1,750,2,"464 W 25th St APT 2, New York, NY 10001"
17500,24,10,2,3,2524,10W,"245 10th Ave APT 10W, New York, NY 10001"
2815,25,9,0,1,531,18A,"401 W 25th St, New York, NY 10001"
5149,25,9,2,1,824,5I,"401 W 25th St, New York, NY 10001"
4495,26,7,1,1,649,6J,"200 W 26th St APT 6J, New York, NY 10001"
10000,26,7,3,2,1830,203,"150 W 26th St APT 203, New York, NY 10001"
3495,26,6,0,1,470,33D,"100 W 26th St, New York, NY 10001"
3995,26,6,0,1,605,17H,"100 W 26th St, New York, NY 10001"
4495,26,6,1,1,720,3D,"100 W 26th St, New York, NY 10001"
4695,26,6,1,1,735,20F,"100 W 26th St, New York, NY 10001"
3935,25,6,0,1,531,5H,"55 W 25th St, New York, NY 10010"
3935,25,6,0,1,542,5E,"55 W 25th St, New York, NY 10010"
3950,25,6,0,1,446,33A,"55 W 25th St, New York, NY 10010"
4025,25,6,0,1,532,4L,"55 W 25th St, New York, NY 10010"
4035,25,6,0,1,483,18L,"55 W 25th St, New York, NY 10010"
